Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
1	0.12142665783564249	5124	5124	703.3049248493792	-258.59155	152.3007	-7.8511925	-495.59454	122.0	38.41998487890434	42
2	0.19552197058995566	10271	5147	1157.8579863763953	-148.8926	110.39783	25.58715	-431.84256	111.8913043478261	29.08699714041487	88
3	0.2708696047465006	15305	5034	1113.5836581705746	-138.58633	70.11412	-19.80304	-381.90942	109.43478260869566	23.828784360163567	134
4	0.3490931232770284	20360	5055	1077.1147465030435	-153.19827	86.62046	0.8489475	-323.24194	126.375	69.40701963778592	174
5	0.4177504420280457	25392	5032	1221.6283182357583	-112.28575	61.36657	-12.136208	-318.88434	100.64	24.19236243114756	224
6	0.5170632839202881	30414	5022	842.8745073113594	-100.90901	58.551952	24.105164	-290.1741	125.55	141.3385916867718	264
7	0.585957117875417	35426	5012	1212.5903348104252	-80.24886	50.357395	31.124176	-234.82065	102.28571428571429	24.2158659408518	313
8	0.6556971033414205	40533	5107	1220.5801026560225	-91.455536	59.291206	33.206333	-313.90466	104.22448979591837	24.358936093286886	362
9	0.7256306529045105	45583	5050	1203.6412171819482	-95.301186	64.05041	36.375732	-281.06213	109.78260869565217	26.02499888775695	408
10	0.7955569426218668	50588	5005	1193.0215284991746	-84.00333	65.29434	2.7033386	-291.24084	108.80434782608695	23.866129870790775	454
11	0.866490904490153	55646	5058	1188.5158056242258	-76.695526	64.02695	7.1202316	-292.61856	103.22448979591837	20.718980065239055	503
12	0.9383520483970642	60672	5026	1165.785258337475	-83.20032	72.64646	30.71629	-321.01077	114.22727272727273	26.185408529077996	547
13	1.0090980172157287	65678	5006	1179.4346383066352	-76.62087	60.26628	11.62204	-280.81482	122.09756097560975	21.467848765922632	588
14	1.0825697342554728	70735	5057	1147.2460824079267	-76.141884	62.320892	8.453354	-268.9544	117.6046511627907	23.92346278008141	631
15	1.1944867849349976	75752	5017	747.1693985702716	-52.085464	59.787075	51.35417	-214.19754	152.03030303030303	151.1199573384296	664
16	1.3475451310475668	80888	5136	559.2855142918816	-58.31228	73.3571	24.243675	-263.72772	177.10344827586206	191.34989522312912	693
17	1.4307396014531453	85931	5043	1010.3579532315954	-44.00063	75.40407	40.45616	-376.45972	148.3235294117647	56.03818057057973	727
18	1.5706328988075255	91032	5101	607.7476522692283	-65.1199	94.29993	55.998302	-359.1445	196.19230769230768	178.10088308656142	753
19	1.6693016211191813	96057	5025	848.8495205975026	-50.632046	66.43291	44.700943	-224.48367	179.46428571428572	91.42306763568135	781
20	1.8380737026532492	101069	5012	494.96377860021175	-84.04096	72.07511	30.96304	-224.75316	263.7894736842105	256.6479421405637	800
21	2.070615518093109	106087	5018	359.6562052486044	-117.54632	127.88088	56.115856	-446.5592	185.85185185185185	82.43592515299325	827
22	2.260694948832194	111185	5098	447.0205747615369	-58.127922	98.96869	46.286064	-385.71674	242.76190476190476	251.6414502841966	848
23	2.578439458211263	117115	5930	311.0517389014664	-14.12868	42.679882	35.800613	-101.90294	539.0909090909091	423.15813819109684	859
24	2.7287449479103087	122221	5106	566.2024803743008	-74.87299	105.15807	44.710655	-468.37946	232.0909090909091	209.61369427221658	881
25	2.913504167397817	127323	5102	460.251892199139	-33.974365	100.86677	43.87947	-396.14923	242.95238095238096	254.7210381107847	902
26	3.094384050369263	132489	5166	476.02105665955185	-21.900251	42.39608	43.820473	-118.5254	215.25	238.97668121945844	926
27	3.296674406528473	137922	5433	447.63535762548344	-71.272644	154.46098	53.344543	-622.4564	285.94736842105266	264.20236934357536	945
28	3.5550519386927286	143557	5635	363.493073417674	-33.977768	83.69098	65.97296	-236.76085	433.46153846153845	380.45814798327547	958
29	3.7513057867685955	148702	5145	436.9481303832018	-33.041714	93.53526	54.41646	-288.52502	302.6470588235294	291.77649406926093	975
30	3.977065145969391	154153	5451	402.4292375555614	-17.048458	50.602737	52.782124	-124.643524	320.6470588235294	330.61118823395424	992
31	4.247367238998413	159223	5070	312.6201311897422	-12.094472	54.14641	39.331978	-145.84012	563.3333333333334	407.3581552720734	1001
32	4.513880745569865	164231	5008	313.1860434058364	11.771221	26.651485	69.88372	-21.069088	455.27272727272725	411.15780887835865	1012
33	4.725164584318796	169295	5064	399.47281995526646	-48.420746	101.98588	48.351013	-266.10776	422.0	362.84868287850605	1024
34	5.047130580743154	175284	5989	310.02769766709145	-43.22203	58.694412	27.97319	-159.33981	665.4444444444445	375.01618072087115	1033
35	5.331762619813284	180429	5145	301.2719255566901	-10.762845	33.09738	29.58612	-71.166	857.5	316.4036188162202	1039
36	5.62379629611969	185568	5139	293.29351243275346	6.5410595	21.640827	26.554558	-36.46708	856.5	318.63968679372005	1045
37	5.9241450746854145	190889	5321	295.2726703679523	6.929342	58.47856	70.84271	-106.281456	886.8333333333334	250.81229147622645	1051
38	6.218524678548177	196185	5296	299.8452111568219	3.657636	76.74039	82.36473	-120.14882	882.6666666666666	260.1292413824755	1057
39	6.537015362580617	202179	5994	313.67133636698225	61.177876	23.537294	85.95206	23.188217	999.0	0.0	1063
40	6.80485227505366	208158	5979	372.06340548674655	22.163671	30.309864	64.448906	-22.75666	498.25	423.3594070054426	1075
41	7.268086111545562	213525	5367	193.10150495930898	17.483107	34.816704	48.379997	-63.779816	670.875	423.6441423824954	1083
42	7.523104461034139	219011	5486	358.5467054654179	-44.2002	140.20549	110.520424	-260.56366	783.7142857142857	250.60766963848624	1090
