Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
1000	0.03715901772181193	1999	-192.28755067184164	-inf	20	0.9346993333333333
2000	0.07159311374028524	2999	-184.21273566907658	-inf	30	0.9020326666666667
3000	0.11131016413370769	3999	-180.74867542621226	-inf	40	0.869366
4000	0.1498580813407898	4999	-167.33653785235484	-inf	51	0.8366993333333334
5000	0.18869932095209757	5999	-160.43623697518296	-inf	60	0.8040326666666666
6000	0.23027003606160482	6999	-156.42650260279999	-inf	70	0.771366
7000	0.27191665569941204	7999	-152.24744148083124	-inf	79	0.7386993333333334
8000	0.30979108015696205	8999	-147.74735064701338	-inf	87	0.7060326666666668
9000	0.3532443841298421	9999	-144.40070133500305	-inf	94	0.673366
10000	0.39322286446889243	10999	-136.33937046697775	-136.33937046697775	102	0.6406993333333333
11000	0.43984665075937907	11999	-129.17274745880087	-129.17274745880087	109	0.6080326666666667
12000	0.4822049061457316	12999	-121.46053429141676	-121.46053429141676	114	0.575366
13000	0.5261668205261231	13999	-116.76585485670604	-116.76585485670604	120	0.5426993333333333
14000	0.5732155958811442	14999	-112.16205252481268	-112.16205252481268	125	0.5100326666666667
15000	0.6177388906478882	15999	-107.21628042644812	-107.21628042644812	131	0.47736600000000007
16000	0.6637573520342509	16999	-102.36699013889161	-102.36699013889161	137	0.44469933333333334
17000	0.7220756610234579	17999	-98.85951709447389	-98.85951709447389	138	0.4120326666666667
18000	0.7832058668136597	18999	-96.09805082904917	-96.09805082904917	139	0.3793660000000001
19000	0.8357924858729044	19999	-91.40174814929702	-91.40174814929702	141	0.34669933333333336
20000	0.8977856040000916	20999	-91.06084071760336	-91.06084071760336	142	0.31403266666666674
21000	1.4284502506256103	21999	-88.85762870914223	-88.85762870914223	144	0.281366
22000	1.5026803572972616	22999	-86.7396175948441	-86.7396175948441	145	0.24869933333333327
23000	1.5701648592948914	23999	-87.87397918131921	-86.7396175948441	146	0.21603266666666665
24000	1.637735096613566	24999	-89.50001912403737	-86.7396175948441	147	0.18336600000000003
25000	1.6985220074653626	25999	-89.5172713409677	-86.7396175948441	149	0.1506993333333333
26000	1.7678111632665	26999	-89.3545992234119	-86.7396175948441	150	0.11803266666666667
27000	1.8367100636164346	27999	-90.3009241973255	-86.7396175948441	151	0.08536600000000005
28000	1.9036864399909974	28999	-89.50182631847973	-86.7396175948441	153	0.05269933333333332
29000	1.971501104036967	29999	-89.74594548930514	-86.7396175948441	154	0.0200326666666667
30000	2.0481261531511943	30999	-90.4829343427653	-86.7396175948441	155	0.02
31000	2.1179497440656028	31999	-91.15704077255617	-86.7396175948441	156	0.02
32000	2.177353338400523	32999	-91.25346608300839	-86.7396175948441	157	0.02
33000	2.2445791443188985	33999	-91.8087370372087	-86.7396175948441	158	0.02
34000	2.3224871317545572	34999	-92.33297352937181	-86.7396175948441	159	0.02
35000	2.395625825723012	35999	-93.1708156086849	-86.7396175948441	160	0.02
36000	2.477204442024231	36999	-92.89307598333151	-86.7396175948441	161	0.02
37000	2.542343099912008	37999	-93.05392392959374	-86.7396175948441	162	0.02
38000	2.6075567245483398	38999	-95.26665076574413	-86.7396175948441	163	0.02
39000	2.681807279586792	39999	-95.82020162079712	-86.7396175948441	164	0.02
40000	2.7661540190378826	40999	-95.31748028458945	-86.7396175948441	165	0.02
41000	3.3021321058273316	41999	-95.73555086152493	-86.7396175948441	166	0.02
42000	3.3697895566622416	42999	-95.90529341931337	-86.7396175948441	167	0.02
43000	3.44538787206014	43999	-95.1348673160151	-86.7396175948441	168	0.02
44000	3.514630711078644	44999	-94.659950820097	-86.7396175948441	169	0.02
45000	3.5802702864011127	45999	-93.10246434348088	-86.7396175948441	170	0.02
46000	3.6546382308006287	46999	-92.39088800157585	-86.7396175948441	171	0.02
47000	3.7310789545377094	47999	-90.60658849723964	-86.7396175948441	172	0.02
48000	3.8103994051615397	48999	-90.98741982719645	-86.7396175948441	174	0.02
49000	3.8781582991282146	49999	-90.21533255284305	-86.7396175948441	175	0.02
50000	3.95079083442688	50999	-90.56045472086544	-86.7396175948441	176	0.02
51000	4.020351485411326	51999	-89.5572521783846	-86.7396175948441	177	0.02
52000	4.09336234331131	52999	-89.52586423341083	-86.7396175948441	179	0.02
53000	4.176597547531128	53999	-86.72852110991198	-86.72852110991198	181	0.02
54000	4.251848661899567	54999	-87.48159293805197	-86.72852110991198	182	0.02
55000	4.328207317988078	55999	-86.60806694253968	-86.60806694253968	183	0.02
56000	4.400704050064087	56999	-87.19310768998783	-86.60806694253968	184	0.02
57000	4.473701719443003	57999	-87.12539927428693	-86.60806694253968	186	0.02
58000	4.55444993575414	58999	-86.99788984262628	-86.60806694253968	187	0.02
59000	4.637345019976298	59999	-87.7526368388446	-86.60806694253968	188	0.02
60000	4.71545573870341	60999	-87.90132015551957	-86.60806694253968	189	0.02
61000	5.17099912961324	61999	-87.57086679609431	-86.60806694253968	190	0.02
62000	5.235833732287089	62999	-86.69152891087994	-86.60806694253968	191	0.02
63000	5.3173604011535645	63999	-84.83416829420878	-84.83416829420878	192	0.02
64000	5.396356976032257	64999	-82.85027948155421	-82.85027948155421	194	0.02
65000	5.472480734189351	65999	-82.10685697977037	-82.10685697977037	195	0.02
66000	5.555382001399994	66999	-78.71014373368882	-78.71014373368882	197	0.02
67000	5.631806520620982	67999	-78.49893647134418	-78.49893647134418	198	0.02
68000	5.706345454851786	68999	-75.78899237872804	-75.78899237872804	200	0.02
69000	5.780254844824473	69999	-72.78497519171492	-72.78497519171492	201	0.02
70000	5.855547495683035	70999	-72.86724751622295	-72.78497519171492	202	0.02
71000	5.92931410074234	71999	-70.02648563161333	-70.02648563161333	203	0.02
72000	6.01266272465388	72999	-70.17317892754572	-70.02648563161333	204	0.02
73000	6.079579591751099	73999	-69.47033554901401	-69.47033554901401	205	0.02
74000	6.143373250961304	74999	-63.88805591045648	-63.88805591045648	208	0.02
75000	6.21287362575531	75999	-59.78937249237566	-59.78937249237566	210	0.02
76000	6.284189422925313	76999	-57.93131364153386	-57.93131364153386	211	0.02
77000	6.366803189118703	77999	-53.74804563533767	-53.74804563533767	213	0.02
78000	6.430434425671895	78999	-51.099948206668834	-51.099948206668834	215	0.02
79000	6.494569075107575	79999	-41.43138701569588	-41.43138701569588	219	0.02
80000	6.56432390610377	80999	-39.70153268870158	-39.70153268870158	220	0.02
81000	6.987529555956523	81999	-35.180050599765416	-35.180050599765416	222	0.02
82000	7.059163542588552	82999	-35.32707228573987	-35.180050599765416	223	0.02
83000	7.126824732621511	83999	-30.662353335555785	-30.662353335555785	225	0.02
84000	7.1976458390553795	84999	-23.55496297384397	-23.55496297384397	227	0.02
85000	7.274762984116872	85999	-20.833112449727825	-20.833112449727825	228	0.02
86000	7.351561896006266	86999	-15.270732852099435	-15.270732852099435	230	0.02
87000	7.417454441388448	87999	-12.968598028665147	-12.968598028665147	234	0.02
88000	7.491950651009877	88999	-12.086280131747873	-12.086280131747873	235	0.02
89000	7.572386519114176	89999	-11.836570559314366	-11.836570559314366	236	0.02
90000	7.643780120213827	90999	-8.141960349864453	-8.141960349864453	238	0.02
91000	7.708297387758891	91999	-4.679906946058317	-4.679906946058317	241	0.02
92000	7.776645962397257	92999	1.798937363514203	1.798937363514203	243	0.02
93000	7.845000859101614	93999	0.9321323450226707	1.798937363514203	244	0.02
94000	7.916231246789296	94999	-0.1685631477104699	1.798937363514203	245	0.02
95000	7.979879573980967	95999	12.730443651841039	12.730443651841039	248	0.02
96000	8.043486392498016	96999	20.321506900605222	20.321506900605222	250	0.02
97000	8.104246306419373	97999	31.72182895756976	31.72182895756976	253	0.02
98000	8.170245317618052	98999	32.31639030878869	32.31639030878869	255	0.02
99000	8.237027275562287	99999	40.02307311220299	40.02307311220299	257	0.02
100000	8.300974853833516	100999	52.358726875352616	52.358726875352616	260	0.02
101000	8.576268180211384	101999	62.920370361915985	62.920370361915985	263	0.02
102000	8.64112309217453	102999	71.17443315740614	71.17443315740614	266	0.02
103000	8.704767874876659	103999	80.88442017424671	80.88442017424671	269	0.02
104000	8.770595888296763	104999	87.35150399659123	87.35150399659123	271	0.02
105000	8.842292360464732	105999	90.1361290285124	90.1361290285124	272	0.02
106000	8.908284505208334	106999	93.57442188589881	93.57442188589881	274	0.02
107000	8.983411872386933	107999	97.0086418956115	97.0086418956115	276	0.02
108000	9.069310573736827	108999	96.85939811111534	97.0086418956115	277	0.02
109000	9.13819458882014	109999	101.36064497877177	101.36064497877177	279	0.02
110000	9.216616113980612	110999	103.29133760045815	103.29133760045815	281	0.02
111000	9.283558289210001	111999	105.27361455053477	105.27361455053477	282	0.02
112000	9.35829182068507	112999	106.14896741724648	106.14896741724648	283	0.02
113000	9.421727446715037	113999	116.19643112012201	116.19643112012201	287	0.02
114000	9.484009941418966	114999	122.55005784723933	122.55005784723933	289	0.02
115000	9.555710450808208	115999	125.86753192776133	125.86753192776133	291	0.02
116000	9.614369181791941	116999	129.55839589705795	129.55839589705795	296	0.02
117000	9.67869743903478	117999	130.99383402908668	130.99383402908668	299	0.02
118000	9.741035171349843	118999	133.63823517199833	133.63823517199833	301	0.02
119000	9.819681036472321	119999	135.21321941183513	135.21321941183513	303	0.02
120000	9.882783039410908	120999	139.29685722534327	139.29685722534327	306	0.02
121000	10.174591104189554	121999	143.87374389367935	143.87374389367935	311	0.02
122000	10.23613500992457	122999	142.90985917592553	143.87374389367935	314	0.02
123000	10.32542479832967	123999	142.90085926744123	143.87374389367935	317	0.02
124000	10.38810160557429	124999	146.00205884304077	146.00205884304077	319	0.02
125000	10.45007121960322	125999	150.643616714366	150.643616714366	324	0.02
126000	10.511198170979817	126999	148.32431727005556	150.643616714366	328	0.02
127000	10.575079886118571	127999	154.44475943958906	154.44475943958906	332	0.02
128000	10.640882976849873	128999	155.54689411087364	155.54689411087364	336	0.02
