Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
1	0.042775440216064456	5174	5174	2015.9528180737218	-1258.5663	232.3307	-1016.90845	-1866.1548	199.0	0.0	26
2	0.0857840895652771	10348	5174	2005.3124492985023	-1292.0757	219.19841	-985.7461	-1720.1653	199.0	0.0	52
3	0.12826064427693684	15522	5174	2030.4966502131656	-1348.6908	214.59557	-1048.7516	-1830.5735	199.0	0.0	78
4	0.17111668189366658	20696	5174	2012.4507335397407	-1230.9392	165.89104	-952.08167	-1737.4385	199.0	0.0	104
5	0.21437670389811198	25870	5174	1993.6468932890973	-1311.1395	139.01306	-1072.0519	-1696.9961	199.0	0.0	130
6	0.25760969320933025	31044	5174	1994.98809662579	-1404.1185	164.30249	-1076.46	-1800.4236	199.0	0.0	156
7	0.30087627172470094	36218	5174	1993.3368662529904	-1395.0383	214.29446	-1076.1506	-1813.361	199.0	0.0	182
8	0.34411727587381996	41392	5174	1994.6310848722378	-1468.5156	197.67743	-1165.4429	-1825.1248	199.0	0.0	208
9	0.38668292760849	46566	5174	2026.195601239993	-1387.7284	186.48753	-1170.8031	-1750.7476	199.0	0.0	234
10	0.4290788372357686	51740	5174	2034.2409175533273	-1465.4124	189.42778	-1051.1857	-1799.4525	199.0	0.0	260
11	0.47127513885498046	56914	5174	2043.835697727488	-1487.7175	235.88301	-923.533	-1821.1615	199.0	0.0	286
12	0.51405322154363	62088	5174	2016.0458968871462	-1470.0972	224.70454	-896.30334	-1704.9626	199.0	0.0	312
13	0.5578215519587199	67262	5174	1970.525906243397	-1478.933	274.9929	-907.3225	-1832.1897	199.0	0.0	338
14	0.6010155399640401	72436	5174	1996.7271226347823	-1452.5968	255.89922	-927.2351	-1814.7432	199.0	0.0	364
15	0.6437914848327637	77610	5174	2016.222526794607	-1487.3826	196.86499	-964.31177	-1786.3407	199.0	0.0	390
16	0.6871533592542013	82784	5174	1989.0550830947911	-1478.0643	146.78642	-1013.56116	-1764.5652	199.0	0.0	416
17	0.7297339717547099	87958	5174	2025.4609014317077	-1391.8048	224.1003	-907.08417	-1748.756	199.0	0.0	442
18	0.7730874578158061	93132	5174	1989.380010191969	-1408.3533	216.90562	-1029.9221	-1794.5261	199.0	0.0	468
19	0.8163204431533814	98306	5174	1994.9134564851906	-1412.9393	200.95674	-1026.286	-1777.7332	199.0	0.0	494
20	0.8593531727790833	103480	5174	2004.2058867587732	-1386.8925	250.90413	-1019.5685	-1730.8107	199.0	0.0	520
21	1.0153552850087484	108654	5174	552.7952442141866	-1401.1758	176.01755	-1086.7717	-1732.0228	199.0	0.0	546
22	1.058196246623993	113828	5174	2013.1829335956556	-1407.7511	165.01726	-1076.3605	-1769.436	199.0	0.0	572
23	1.101525870958964	119002	5174	1991.0528204059224	-1305.0759	156.5063	-1030.9927	-1613.4711	199.0	0.0	598
24	1.143813681602478	124176	5174	2039.5029308305936	-1295.8619	143.88037	-1100.9438	-1595.6594	199.0	0.0	624
25	1.1866829792658489	129350	5174	2011.9210514897873	-1392.0145	118.468124	-1179.7234	-1586.4755	199.0	0.0	650
26	1.230544094244639	134524	5174	1966.3204338832622	-1384.6478	192.06522	-1031.6394	-1753.2549	199.0	0.0	676
27	1.2731190244356791	139698	5174	2025.7515027448653	-1306.188	233.06448	-898.3408	-1623.8287	199.0	0.0	702
28	1.3165396531422933	144872	5174	1986.2769386958062	-1424.4506	179.31511	-910.1428	-1747.9858	199.0	0.0	728
29	1.3597779949506124	150046	5174	1994.6749022393406	-1352.0151	172.60425	-926.157	-1729.6462	199.0	0.0	754
30	1.402311142285665	155220	5174	2027.7037349323741	-1311.4288	242.4415	-760.8052	-1650.7527	199.0	0.0	780
31	1.4451764980951944	160394	5174	2012.0219662258753	-1358.3777	159.25594	-992.1232	-1645.6946	199.0	0.0	806
32	1.4877893129984539	165568	5174	2023.9455302874228	-1352.1425	174.62355	-865.54333	-1624.6553	199.0	0.0	832
33	1.5314045349756877	170742	5174	1977.4418586596535	-1358.6909	130.99133	-1058.2068	-1586.9619	199.0	0.0	858
34	1.574860151608785	175916	5174	1984.672217250684	-1360.1328	134.99498	-1067.5486	-1792.6877	199.0	0.0	884
35	1.6178628524144492	181090	5174	2005.5468824712443	-1374.5508	143.07355	-1101.4626	-1604.5925	199.0	0.0	910
36	1.6613688707351684	186264	5174	1982.3735666581165	-1345.1465	163.02931	-947.77783	-1697.0867	199.0	0.0	936
37	1.7038355906804403	191438	5174	2030.8945557671486	-1276.3309	135.52051	-1046.4504	-1669.9307	199.0	0.0	962
38	1.746676544348399	196612	5174	2013.1724751794281	-1260.4701	171.89085	-981.30835	-1710.9333	199.0	0.0	988
39	1.789411985874176	201786	5174	2018.1111966973447	-1258.2266	144.44989	-954.82983	-1493.3818	199.0	0.0	1014
40	1.8323951323827108	206960	5174	2006.4144837612882	-1176.6042	171.98384	-862.50775	-1491.9702	199.0	0.0	1040
41	1.9868627270062764	212134	5174	558.2868634115459	-1027.9342	238.01703	-748.6797	-1452.977	199.0	0.0	1066
42	2.029848023255666	217308	5174	2006.421718471707	-1049.4767	198.29053	-752.28284	-1496.9136	199.0	0.0	1092
43	2.073223618666331	222482	5174	1988.3519849180368	-1081.6167	146.6092	-876.6323	-1456.9221	199.0	0.0	1118
44	2.117463556925456	227656	5174	1949.4842219577354	-1105.5728	103.238945	-897.4132	-1389.8704	199.0	0.0	1144
45	2.1608843247095746	232830	5174	1986.2540321920028	-1108.1343	140.10571	-873.3412	-1399.649	199.0	0.0	1170
46	2.2038284142812095	238004	5174	2008.3478200997024	-1068.4656	112.65124	-882.4264	-1303.7684	199.0	0.0	1196
47	2.2467109322547913	243178	5174	2011.206730401643	-1123.8599	134.23926	-872.56934	-1481.3135	199.0	0.0	1222
48	2.2903531591097512	248352	5174	1976.1592260632337	-1119.7439	176.48265	-883.6509	-1479.6709	199.0	0.0	1248
49	2.3339012980461122	253526	5174	1980.466576288696	-1091.093	134.50047	-798.10535	-1464.1301	199.0	0.0	1274
50	2.377796947956085	258700	5174	1964.783004454533	-1059.6954	137.19194	-766.7251	-1395.5869	199.0	0.0	1300
51	2.4209296544392904	263874	5174	1999.56812857781	-996.7284	158.57945	-752.49414	-1434.5212	199.0	0.0	1326
52	2.4642744700113934	269048	5174	1989.72292155223	-1065.4103	179.22467	-866.9177	-1458.4119	199.0	0.0	1352
53	2.50706848303477	274222	5174	2015.3546594328843	-1025.0114	194.08386	-754.3399	-1563.3206	199.0	0.0	1378
54	2.549953325589498	279396	5174	2011.0898694539715	-988.2296	213.81403	-744.86646	-1494.9005	199.0	0.0	1404
55	2.592517650127411	284570	5174	2026.2752493683217	-1012.8487	200.81935	-751.9998	-1577.7725	199.0	0.0	1430
56	2.6365739266077677	289744	5174	1957.6617870950358	-1034.06	207.87967	-761.63367	-1502.5293	199.0	0.0	1456
57	2.679511372248332	294918	5174	2008.6511933480508	-1047.5732	213.85588	-745.0177	-1449.9292	199.0	0.0	1482
58	2.7224199096361796	300092	5174	2010.0028004941526	-1071.8885	224.19287	-757.8954	-1467.8237	199.0	0.0	1508
59	2.7649216492970785	305266	5174	2029.1530194379086	-1034.5947	202.09554	-756.9127	-1427.3391	199.0	0.0	1534
60	2.808293290932973	310440	5174	1988.6371371830014	-1016.907	185.573	-743.3077	-1498.2743	199.0	0.0	1560
61	2.962893748283386	315614	5174	557.8046015496149	-1038.739	196.0967	-637.37573	-1385.5188	199.0	0.0	1586
62	3.0059410611788433	320788	5174	2003.539760627666	-1040.3826	176.70422	-799.23224	-1482.074	199.0	0.0	1612
63	3.0492008606592815	325962	5174	1993.6392009615918	-1036.0739	184.37738	-765.2893	-1366.0006	199.0	0.0	1638
64	3.0930437525113423	331136	5174	1967.1358765301702	-996.6288	118.815216	-825.4437	-1377.7778	199.0	0.0	1664
65	3.1362638036410013	336310	5174	1995.4144043547024	-1098.7185	143.75006	-910.8033	-1573.1096	199.0	0.0	1690
66	3.1790695667266844	341484	5174	2014.7486254592557	-1054.8508	130.04416	-885.2191	-1540.8528	199.0	0.0	1716
67	3.2217084844907125	346658	5174	2022.717255983894	-1107.4362	65.43104	-981.08	-1212.4661	199.0	0.0	1742
68	3.2648309071858725	351832	5174	2000.0701268280166	-1127.1046	111.18781	-904.30884	-1270.6202	199.0	0.0	1768
69	3.3087115128835043	357006	5174	1965.4588495705464	-1212.9124	101.77426	-965.1616	-1473.974	199.0	0.0	1794
70	3.352732241153717	362180	5174	1959.195516551796	-1202.5499	125.174385	-897.4709	-1424.5579	199.0	0.0	1820
71	3.3956881006558737	367354	5174	2007.700484233254	-1225.8157	123.66854	-1015.39795	-1345.3348	199.0	0.0	1846
72	3.438679285844167	372528	5174	2006.0806308136378	-1243.1487	96.075294	-1004.5789	-1350.7249	199.0	0.0	1872
73	3.4813154339790344	377702	5174	2022.8379233717617	-1215.3788	108.311325	-917.61914	-1350.5947	199.0	0.0	1898
74	3.524588898817698	382876	5174	1993.043958255174	-1180.0702	108.70183	-1013.9483	-1340.3699	199.0	0.0	1924
75	3.5681312441825868	388050	5174	1981.3563860227428	-1155.8702	119.16927	-806.40924	-1319.1667	199.0	0.0	1950
76	3.6105619072914124	393224	5174	2032.6581227818922	-1162.0262	115.69719	-891.6634	-1388.7792	199.0	0.0	1976
77	3.65450089375178	398398	5174	1962.8422255495034	-1141.3032	97.86177	-878.80676	-1274.9119	199.0	0.0	2002
78	3.697975476582845	403572	5174	1984.3949146638993	-1127.6124	99.962616	-896.4088	-1263.0999	199.0	0.0	2028
79	3.7408424973487855	408746	5174	2011.9434346610853	-1117.3668	95.61456	-925.329	-1260.6187	199.0	0.0	2054
80	3.783753454685211	413920	5174	2009.8641142770243	-1047.6274	97.06209	-796.3983	-1280.5023	199.0	0.0	2080
81	3.940119294325511	419094	5174	551.5070837001033	-1058.5647	84.53085	-901.9662	-1248.9362	199.0	0.0	2106
82	3.983586100737254	424268	5174	1984.212931594745	-1025.4169	92.1874	-845.97375	-1278.601	199.0	0.0	2132
83	4.026936054229736	429442	5174	1989.5499919001854	-1012.8342	113.88284	-779.4646	-1416.5302	199.0	0.0	2158
84	4.07024032274882	434616	5174	1991.6225641974445	-990.1998	158.18404	-760.243	-1559.2633	199.0	0.0	2184
85	4.113869086901347	439790	5174	1976.806906850091	-948.98334	133.68716	-746.135	-1236.6997	199.0	0.0	2210
86	4.156572194894155	444964	5174	2019.6965964891447	-953.68274	153.08852	-747.2219	-1244.2653	199.0	0.0	2236
87	4.19963260491689	450138	5174	2002.9260215197069	-962.6888	160.10919	-751.44977	-1337.356	199.0	0.0	2262
88	4.242764143149058	455312	5174	1999.6711245544668	-1053.4667	174.60303	-743.66223	-1379.5055	199.0	0.0	2288
89	4.286383593082428	460486	5174	1977.2370083666626	-1046.8796	213.9148	-646.9072	-1375.1685	199.0	0.0	2314
90	4.3304301182429	465660	5174	1958.058156179772	-1080.4202	179.60443	-746.9689	-1342.1827	199.0	0.0	2340
91	4.374355510870616	470834	5174	1963.5323698800635	-1131.9061	190.31744	-862.10803	-1486.968	199.0	0.0	2366
92	4.417699424425761	476008	5174	1989.803376920501	-1047.4448	174.63742	-768.4578	-1477.1135	199.0	0.0	2392
93	4.46105926434199	481182	5174	1988.9874488829448	-1073.7942	150.0435	-874.2269	-1359.4147	199.0	0.0	2418
94	4.504100735982259	486356	5174	2003.7939465121347	-1046.724	156.11055	-791.75916	-1328.1726	199.0	0.0	2444
95	4.547946270306905	491530	5174	1967.0572437523244	-1071.9348	106.447075	-899.9584	-1316.702	199.0	0.0	2470
96	4.5914103547732035	496704	5174	1984.2796971790574	-1048.3993	128.74297	-811.40845	-1419.7239	199.0	0.0	2496
97	4.635401503245036	501878	5174	1960.511651004764	-1060.0096	102.350914	-856.1848	-1270.5188	199.0	0.0	2522
98	4.678310024738312	507052	5174	2009.9994494605937	-1034.2249	81.28202	-893.63367	-1253.7285	199.0	0.0	2548
99	4.721934819221497	512226	5174	1976.9792491837945	-1064.7874	77.19982	-872.75757	-1245.4229	199.0	0.0	2574
100	4.764480149745941	517400	5174	2027.0760514229296	-1081.4116	85.7459	-842.484	-1331.004	199.0	0.0	2600
1	0.043139914671579994	5174	5174	1998.9207314349171	-1243.78	347.5978	-630.7638	-1890.013	199.0	0.0	26
2	0.08664586941401163	10348	5174	1982.3994622819528	-1309.6155	230.0746	-1101.1434	-1856.6907	199.0	0.0	52
3	0.13112454017003378	15522	5174	1939.0396905160496	-1185.0641	206.21043	-1015.52386	-1759.3047	199.0	0.0	78
