Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
1000	0.06945565541585287	1999	-200.0	-inf	9	0.9564662222222222
2000	0.09909733136494954	2999	-200.0	-inf	14	0.9346884444444444
3000	0.1285143534342448	3999	-200.0	-inf	19	0.9129106666666666
4000	0.1589149832725525	4999	-200.0	-inf	24	0.8911328888888889
5000	0.18853232463200886	5999	-200.0	-inf	29	0.8693551111111111
6000	0.219558052221934	6999	-200.0	-inf	34	0.8475773333333334
7000	0.2521200656890869	7999	-200.0	-inf	39	0.8257995555555555
8000	0.2868600050608317	8999	-200.0	-inf	44	0.8040217777777778
9000	0.32077088753382366	9999	-200.0	-inf	49	0.7822439999999999
10000	0.35293038686116535	10999	-200.0	-inf	54	0.7604662222222223
11000	0.3863370339075724	11999	-200.0	-inf	59	0.7386884444444444
12000	0.41987038056055703	12999	-200.0	-inf	64	0.7169106666666667
13000	0.454314136505127	13999	-200.0	-inf	69	0.6951328888888888
14000	0.4892558932304382	14999	-200.0	-inf	74	0.6733551111111111
15000	0.52450536886851	15999	-200.0	-inf	79	0.6515773333333333
16000	0.5599328716595967	16999	-200.0	-inf	84	0.6297995555555556
17000	0.5961678385734558	17999	-200.0	-inf	89	0.6080217777777778
18000	0.633967133363088	18999	-200.0	-inf	94	0.586244
19000	0.6714247743288676	19999	-200.0	-inf	99	0.5644662222222223
20000	0.7082162499427795	20999	-200.0	-200.0	104	0.5426884444444444
21000	0.8892525434494019	21999	-200.0	-200.0	109	0.5209106666666667
22000	0.926183573404948	22999	-200.0	-200.0	114	0.49913288888888885
23000	0.9642760992050171	23999	-200.0	-200.0	119	0.4773551111111112
24000	1.0010720372200013	24999	-200.0	-200.0	124	0.4555773333333334
25000	1.0376973589261373	25999	-200.0	-200.0	129	0.4337995555555555
26000	1.0752710024515788	26999	-200.0	-200.0	134	0.4120217777777777
27000	1.1122421145439148	27999	-200.0	-200.0	139	0.39024400000000004
28000	1.1504605213801067	28999	-200.0	-200.0	144	0.36846622222222225
29000	1.1897156556447348	29999	-200.0	-200.0	149	0.34668844444444447
30000	1.2268420060475667	30999	-200.0	-200.0	154	0.3249106666666667
31000	1.2662042339642843	31999	-200.0	-200.0	159	0.3031328888888889
32000	1.305497694015503	32999	-200.0	-200.0	164	0.2813551111111111
33000	1.3471860726674398	33999	-200.0	-200.0	169	0.25957733333333344
34000	1.388778563340505	34999	-200.0	-200.0	174	0.23779955555555554
35000	1.4310697396596272	35999	-200.0	-200.0	179	0.21602177777777776
36000	1.4722610274950663	36999	-200.0	-200.0	184	0.19424399999999997
37000	1.5158258040746053	37999	-200.0	-200.0	189	0.1724662222222223
38000	1.5592121402422587	38999	-200.0	-200.0	194	0.1506884444444445
39000	1.6049454887708028	39999	-200.0	-200.0	199	0.12891066666666662
40000	1.6490319967269897	40999	-200.0	-200.0	204	0.10713288888888894
41000	1.810298470656077	41999	-200.0	-200.0	209	0.08535511111111116
42000	1.8568090319633483	42999	-200.0	-200.0	214	0.06357733333333337
43000	1.9031570434570313	43999	-200.0	-200.0	219	0.04179955555555548
44000	1.9502962589263917	44999	-200.0	-200.0	224	0.020021777777777805
45000	1.9985294540723164	45999	-200.0	-200.0	229	0.02
46000	2.047716025511424	46999	-200.0	-200.0	234	0.02
47000	2.0970325032869974	47999	-200.0	-200.0	239	0.02
48000	2.145874011516571	48999	-200.0	-200.0	244	0.02
49000	2.195744009812673	49999	-200.0	-200.0	249	0.02
50000	2.2500825484593707	50999	-200.0	-200.0	254	0.02
51000	2.3080915729204814	51999	-200.0	-200.0	259	0.02
52000	2.369161546230316	52999	-200.0	-200.0	264	0.02
53000	2.4306174317995706	53999	-200.0	-200.0	269	0.02
54000	2.4947465538978575	54999	-200.0	-200.0	274	0.02
55000	2.551386272907257	55999	-200.0	-200.0	279	0.02
56000	2.604827868938446	56999	-200.0	-200.0	284	0.02
57000	2.655951178073883	57999	-200.0	-200.0	289	0.02
58000	2.707371008396149	58999	-200.0	-200.0	294	0.02
59000	2.7583768288294475	59999	-200.0	-200.0	299	0.02
60000	2.8087101658185323	60999	-200.0	-200.0	304	0.02
61000	2.9817381302515664	61999	-200.0	-200.0	309	0.02
62000	3.034061586856842	62999	-200.0	-200.0	314	0.02
63000	3.0891873359680178	63999	-200.0	-200.0	319	0.02
64000	3.143578509489695	64999	-200.0	-200.0	324	0.02
65000	3.1970314184824624	65999	-200.0	-200.0	329	0.02
66000	3.2491515199343364	66999	-200.0	-200.0	334	0.02
67000	3.300256538391113	67999	-200.0	-200.0	339	0.02
68000	3.3527942816416423	68999	-200.0	-200.0	344	0.02
69000	3.404176318645477	69999	-200.0	-200.0	349	0.02
70000	3.4567758003870646	70999	-200.0	-200.0	354	0.02
71000	3.509739903608958	71999	-200.0	-200.0	359	0.02
72000	3.5627453645070393	72999	-200.0	-200.0	364	0.02
73000	3.6165681997934978	73999	-200.0	-200.0	369	0.02
74000	3.669209349155426	74999	-200.0	-200.0	374	0.02
75000	3.720629711945852	75999	-200.0	-200.0	379	0.02
76000	3.7732752442359923	76999	-200.0	-200.0	384	0.02
77000	3.826827085018158	77999	-200.0	-200.0	389	0.02
78000	3.8787184238433836	78999	-200.0	-200.0	394	0.02
79000	3.932419510682424	79999	-200.0	-200.0	399	0.02
80000	3.98685644865036	80999	-200.0	-200.0	404	0.02
81000	4.161723796526591	81999	-200.0	-200.0	409	0.02
