Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
1	0.09380840063095093	5045	5045	896.33011104697	-184.00966	97.11554	-2.3571558	-458.25763	93.42592592592592	18.723724158534363	54
2	0.14488139947255452	10062	5017	1637.463688667159	-201.19116	97.49126	-18.474167	-427.0497	83.61666666666666	18.292158307743666	114
3	0.19904235998789468	15094	5032	1548.6797665988931	-190.75766	117.37644	-54.840115	-557.9645	85.28813559322033	17.88574931970638	173
4	0.25154042641321817	20183	5089	1615.8188159566628	-175.48077	93.96801	-29.28556	-413.80273	86.2542372881356	15.446565325355472	232
5	0.3016811847686768	25256	5073	1686.4904193362406	-152.0408	80.09342	19.58329	-414.93878	79.265625	17.19033357324328	296
6	0.35272171497344973	30314	5058	1651.7858837593697	-159.87395	82.46338	23.72638	-418.46417	82.91803278688525	17.026782260981065	357
7	0.4028533577919006	35348	5034	1673.8152331178462	-161.11847	75.8116	-27.554306	-375.53464	82.52459016393442	15.969855370971253	418
8	0.4530238350232442	40389	5041	1674.8590893928638	-169.86668	80.44252	-69.70578	-380.28018	85.44067796610169	17.555984238749172	477
9	0.5033791343371073	45449	5060	1674.999097514309	-154.88425	74.905876	-34.523376	-422.9423	79.0625	17.229947584075816	541
10	0.553469431400299	50483	5034	1675.2000811174726	-153.63045	85.66929	24.196846	-436.38568	79.9047619047619	15.981849114973738	604
11	0.6033738493919373	55489	5006	1672.0907359117061	-143.78336	75.025154	-10.569069	-523.0655	84.84745762711864	17.32619605705553	663
12	0.6528087655703226	60513	5024	1694.0629683966588	-145.42511	57.857388	15.2170105	-334.90204	81.03225806451613	14.970904838229991	725
13	0.7018434246381123	65515	5002	1700.4010474127044	-145.85123	56.423553	-62.5336	-383.96872	80.6774193548387	16.627585118971954	787
14	0.7505385398864746	70550	5035	1723.5473523121977	-131.09975	54.62977	11.703285	-329.3963	82.54098360655738	18.35941155035044	848
15	0.7981832067171732	75634	5084	1778.6219411045222	-154.09302	77.04054	6.8309937	-453.2193	78.21538461538462	17.545099958232747	913
16	0.8451385100682577	80635	5001	1775.3981034061599	-138.013	63.83501	-2.2958374	-443.75055	79.38095238095238	16.95692822907458	976
17	0.8923697312672932	85704	5069	1788.9501866409616	-125.73383	48.873924	20.187805	-297.63492	75.65671641791045	14.618075336087221	1043
18	0.9394750515619914	90739	5035	1781.7007348412624	-132.30846	55.342506	21.600586	-313.09836	82.54098360655738	15.515802384107696	1104
19	0.9873986840248108	95747	5008	1741.9183882821428	-136.67636	49.58586	4.119995	-278.8622	79.4920634920635	15.806240495422793	1167
20	1.0353853027025859	100754	5007	1739.2844178159196	-124.64738	54.37177	8.476456	-356.04626	78.234375	15.423948695433833	1231
21	1.156416149934133	105790	5036	693.53037967909	-121.36116	34.403835	8.151848	-219.364	79.93650793650794	16.62267815592102	1294
22	1.2046883304913838	110811	5021	1733.8574180660669	-126.28301	43.92258	-16.411911	-337.61624	79.6984126984127	16.352889090538643	1357
23	1.2528096159299216	115823	5012	1736.1160647449835	-127.93815	29.597343	-69.00642	-220.11548	80.83870967741936	16.04850867193373	1419
24	1.3011772592862447	120878	5055	1742.1059770529362	-114.28177	47.498955	16.402683	-285.11227	85.67796610169492	16.09867946786383	1478
25	1.349133058389028	125910	5032	1749.0930789136196	-134.76245	54.75063	23.912354	-336.25177	85.28813559322033	18.52533844010947	1537
26	1.3975255926450094	130948	5038	1735.3582270899599	-121.13437	55.261906	-5.597351	-354.04572	85.38983050847457	17.815454107488204	1596
27	1.4457586884498597	135958	5010	1731.4158109476987	-114.17048	37.622906	3.3211746	-255.53723	82.1311475409836	19.18031385735792	1657
28	1.4944969177246095	141015	5057	1729.6658917502552	-121.18021	47.024635	30.631485	-317.73016	84.28333333333333	15.538223479178335	1717
29	1.5432065407435098	146061	5046	1726.80572770795	-119.45206	41.613415	-68.43808	-312.63974	84.1	17.987680969671064	1777
30	1.5933220704396567	151071	5010	1666.3748181444894	-126.66451	40.230625	-65.830864	-250.47568	84.91525423728814	16.81130383996941	1836
31	1.643096117178599	156123	5052	1691.8477923150103	-119.26432	64.4325	-3.8515015	-397.91193	95.32075471698113	20.757152515758943	1889
32	1.6929857850074768	161128	5005	1672.1908413212325	-124.72753	53.81813	-31.597382	-318.07797	91.0	19.84210399400958	1944
33	1.7445796926816304	166192	5064	1636.0734506086183	-109.347305	46.137627	7.993187	-233.36937	88.84210526315789	20.05412804656981	2001
34	1.79562699397405	171239	5047	1648.0452905762008	-121.35491	58.909187	-0.421463	-284.63	91.76363636363637	19.0596800854232	2056
35	1.8470490137736002	176272	5033	1631.501326265687	-114.56925	54.47574	6.5341187	-284.24713	93.20370370370371	22.89216235731544	2110
36	1.8990126172701518	181364	5092	1633.3455391343696	-115.237076	49.624657	16.614006	-288.50763	94.29629629629629	21.79502969981716	2164
37	1.9521570920944213	186433	5069	1589.8951519584843	-111.550446	53.94861	-12.104717	-310.73242	99.3921568627451	23.1483522738661	2215
